"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 00:00:01.14";35.09;"standing";0;0.02487;35.389;130.019;1.29;431.76
529;"2015-06-27 00:00:36.23";23.77;"sitting";0;0.12075;71.385;170.014;1.62;300.107
529;"2015-06-27 00:01:00.00";7.66;"sitting";0;0.21965;112.152;215.311;1.95;302.142
529;"2015-06-27 00:01:07.66";52.34;"lying";0;0.07308;123.775;228.226;2.29;777.661
529;"2015-06-27 00:02:00.00";60;"lying";0;0.01135;18.811;111.598;1.18;24.608
529;"2015-06-27 00:03:00.00";60;"lying";0;0.00869;14.288;106.573;1.13;5.498
529;"2015-06-27 00:04:00.00";60;"lying";0;0.00294;4.51;95.709;1.03;0
529;"2015-06-27 00:05:00.00";60;"lying";0;0.00486;7.775;99.337;1.06;0
529;"2015-06-27 00:06:00.00";60;"lying";0;0.00465;7.418;98.94;1.06;0
529;"2015-06-27 00:07:00.00";60;"lying";0;0.0029;4.442;95.634;1.03;0
529;"2015-06-27 00:08:00.00";60;"lying";0;0.00507;8.132;99.734;1.07;0
529;"2015-06-27 00:09:00.00";60;"lying";0;0.003;4.612;95.823;1.03;0
529;"2015-06-27 00:10:00.00";60;"lying";0;0.00409;6.466;97.882;1.05;0
529;"2015-06-27 00:11:00.00";60;"lying";0;0.00742;12.128;104.173;1.11;0
529;"2015-06-27 00:12:00.00";60;"lying";0;0.00254;3.83;94.954;1.02;0
529;"2015-06-27 00:13:00.00";60;"lying";0;0.01346;22.398;115.585;1.22;7.829
529;"2015-06-27 00:14:00.00";60;"lying";0;0.01025;16.94;109.52;1.16;0
529;"2015-06-27 00:15:00.00";60;"lying";0;0.00848;13.93;106.176;1.13;0
529;"2015-06-27 00:16:00.00";60;"lying";0;0.00986;16.277;108.783;1.15;0
529;"2015-06-27 00:17:00.00";60;"lying";0;0.00871;14.322;106.611;1.13;0
529;"2015-06-27 00:18:00.00";60;"lying";0;0.00796;13.046;105.194;1.12;0
529;"2015-06-27 00:19:00.00";60;"lying";0;0.00744;12.162;104.211;1.11;0
529;"2015-06-27 00:20:00.00";60;"lying";0;0.00837;13.743;105.968;1.13;0
529;"2015-06-27 00:21:00.00";60;"lying";0;0.00984;16.243;108.746;1.15;0
529;"2015-06-27 00:22:00.00";60;"lying";0;0.00979;16.158;108.651;1.15;0
