"id";"datetime";"spo2"
0;2015-06-27 00:00:00;0.99
1;2015-06-27 00:00:01;0.88
2;2015-06-27 00:00:02;0.8
3;2015-06-27 00:00:03;0.97
4;2015-06-27 00:00:04;0.95
5;2015-06-27 00:00:05;0.84
6;2015-06-27 00:00:06;0.97
7;2015-06-27 00:00:07;0.94
8;2015-06-27 00:00:08;0.87
9;2015-06-27 00:00:09;0.92
10;2015-06-27 00:00:10;0.99
11;2015-06-27 00:00:11;0.89
12;2015-06-27 00:00:12;0.97
13;2015-06-27 00:00:13;0.91
14;2015-06-27 00:00:14;0.95
15;2015-06-27 00:00:15;0.92
16;2015-06-27 00:00:16;0.92
17;2015-06-27 00:00:17;0.88
18;2015-06-27 00:00:18;0.83
19;2015-06-27 00:00:19;0.97
20;2015-06-27 00:00:20;0.9
21;2015-06-27 00:00:21;0.86
22;2015-06-27 00:00:22;0.96
23;2015-06-27 00:00:23;0.96
24;2015-06-27 00:00:24;0.92
25;2015-06-27 00:00:25;0.95
26;2015-06-27 00:00:26;0.92
27;2015-06-27 00:00:27;0.86
28;2015-06-27 00:00:28;0.83
29;2015-06-27 00:00:29;0.96
30;2015-06-27 00:00:30;0.85
31;2015-06-27 00:00:31;0.88
32;2015-06-27 00:00:32;0.8
33;2015-06-27 00:00:33;0.91
34;2015-06-27 00:00:34;0.88
35;2015-06-27 00:00:35;0.92
36;2015-06-27 00:00:36;0.96
37;2015-06-27 00:00:37;0.87
38;2015-06-27 00:00:38;0.93
39;2015-06-27 00:00:39;0.83
40;2015-06-27 00:00:40;0.83
41;2015-06-27 00:00:41;0.94
42;2015-06-27 00:00:42;0.95
43;2015-06-27 00:00:43;0.95
44;2015-06-27 00:00:44;0.9
45;2015-06-27 00:00:45;0.96
46;2015-06-27 00:00:46;0.84
47;2015-06-27 00:00:47;0.83
48;2015-06-27 00:00:48;0.84
49;2015-06-27 00:00:49;0.97
50;2015-06-27 00:00:50;0.8
51;2015-06-27 00:00:51;0.97
52;2015-06-27 00:00:52;0.97
